team,team_strength,tier,region,player_count
Pigeons,122.35,,,5
YDZ Esports,118.88,,,6
St. Clair Saints,117.34,,,7
Blue Otter,111.7,Tier 2/CVal,North America,6
YFP,109.47,,,5
RANKERS,109.04,Tier 2/CVal,North America,5
Culturized,106.77,,,5
Paper Rex,103.98,Tier 1,Pacific,8
QoR,103.06,Tier 2/CVal,North America,6
Nightblood Gaming,102.52,Tier 3,North America,6
Cumberland Phoenix,102.47,,,7
Abdes Daycare,102.03,,,6
Gen.G,101.4,Tier 1,Pacific,7
Prestige Esports,101.3,,,5
Landor,100.9,,,5
JiJieHao,100.24,Tier 2,Australia,8
YDZ Mafia,98.41,,,5
Ambrosia,98.2,Tier 3,North America,5
Sentinels,96.5,Tier 1,Americas,9
Funhavers,96.43,Tier 2/CVal,North America,8
Maryville University,96.13,,,7
G2 Esports,96.0,Tier 1,Americas,6
DRX,95.48,Tier 1,Pacific,7
Todak,94.72,,,8
BBL PCIFIC,94.69,Tier 2,Turkey,6
T1,93.62,Tier 1,Pacific,9
KIMMY KITTENS,92.82,Tier 2,MA/Sing,5
Global Esports,92.29,Tier 1,Pacific,9
NRG Esports,91.77,Tier 1,Americas,6
Orangutan,91.4,,,7
Bilibili Gaming,91.32,Tier 1,China,8
Cubert Academy,90.95,,,5
Metizport,90.57,Tier 2,North East,6
FUT Esports,90.16,Tier 1,EMEA,7
BBL Esports,90.13,Tier 1,EMEA,7
Eintracht Frankfurt,89.96,Tier 2,DACH,5
Himothys,89.92,,,5
TSM,89.88,Tier 2,North America,6
Trust In Plug,89.87,,,5
IGNITE,89.65,Tier 2,MA/Sing,6
Alter Ego,89.53,Tier 2,Indonesia,8
GIANTX,89.21,Tier 1,EMEA,6
RIVAL,88.98,,,6
FOKUS,88.68,Tier 2,DACH,8
ROSE,88.59,,,5
Papara SuperMassive,88.44,Tier 2,Turkey,6
Team Flash,88.06,,,6
Rex Regum Qeon,87.84,Tier 1,Pacific,7
MIBR,87.59,Tier 1,Americas,6
THE 7,87.37,Tier 2,Brazil,5
SaD Esports,87.05,Tier 2/CVal,North America,5
PR0NETS,86.77,,,6
BOOM Esports,86.56,Tier 1,Pacific,8
Next Gen,86.23,,,5
The Ultimates,85.93,Tier 2,GCC,5
Overtake,85.8,,,6
Cloud9,85.32,Tier 1,Americas,7
Team Vitality,85.27,Tier 1,EMEA,9
FURIA,85.09,Tier 1,Americas,5
Karmine Corp,85.07,Tier 1,EMEA,7
Ambitious Legend Gaming GC,85.01,Game Changers,China,6
RIDDLE ORDER,84.99,Tier 2,Japan,6
GoodFor3,84.96,Tier 2,North East,5
The MongolZ,84.89,Tier 2,Mongolia,5
IGZIST,84.88,Tier 2,Japan,6
NAOS,84.85,Tier 2,Philippines,5
Moon,84.58,,,5
RRQ Academy,84.48,Tier 2,Indonesia,6
Stellae Gaming,84.41,Tier 2,Brazil,5
SSalama,84.22,,,5
Team Liquid,84.14,Tier 1,EMEA,8
MOUZ,84.07,Tier 2,DACH,6
Team Liquid Brazil,83.94,Game Changers,Brazil,6
Eternal Fire,83.82,Tier 2,Turkey,6
FNATIC,83.8,Tier 1,EMEA,7
LEVIATÁN Academy,83.76,,,6
Gentle Mates,83.61,Tier 1,EMEA,7
KRÜ Esports,83.56,Tier 1,Americas,7
CGN Esports,83.45,Tier 2,DACH,7
YFP X,83.43,Game Changers,North America GC,6
nobody in Paris,83.26,,,6
CREST GAMING Zst,83.15,Tier 2,Japan,6
Trace Esports,83.14,Tier 1,China,9
Xipto Esports,83.05,Tier 2,MA/Sing,6
NOEZ FOXX,82.84,Tier 2,Japan,8
A nova onda do Imperador,82.81,Tier 2,Brazil,5
ALTERNATE aTTaX,82.74,Tier 2,DACH,6
100 Thieves,82.63,Tier 1,Americas,7
Pixel Lumina,82.56,,,6
LEVIATÁN,82.53,Tier 1,Americas,6
Grêmio Esports,82.49,Tier 3,Brazil,9
Bitfix Gaming,82.47,Tier 2,North East,5
FunPlus Phoenix,82.43,Tier 1,China,7
Rival Esports,82.43,,,7
Joblife,82.33,Tier 2,France,6
LAZY,82.3,,,5
HGE Esport,82.23,Tier 2,Spain,8
Galorys,82.23,Tier 2,Brazil,7
Evil Geniuses,82.16,Tier 1,Americas,6
ZOL Esports,81.95,Tier 2,Philippines,6
DetonatioN FocusMe,81.94,Tier 1,Pacific,8
TALON,81.89,Tier 1,Pacific,7
TYLOO,81.73,Tier 1,China,9
DVM Esport,81.67,Tier 2,France,7
LOUD,81.63,Tier 1,Americas,5
Mandatory,81.62,Tier 2,France,6
Lilmix,81.54,Tier 2,North East,5
Wolves Esports,81.53,Tier 1,China,7
Agropesca Jacare,81.45,,,5
E-Xolos LAZER,81.4,Tier 2,LATAM North,7
TBK Esports,81.28,Tier 2,Brazil,6
Rapid Lofi,81.24,Tier 2,Vietnam,7
Apeks,81.07,Tier 1,EMEA,7
Natus Vincere,80.97,Tier 1,EMEA,7
Murash Gaming,80.96,Tier 2,Japan,6
Harmony,80.94,,,6
EXO Clan,80.91,Tier 2,North East,7
Szach Mat,80.82,,,6
DNSTY,80.77,Tier 2,Spain,6
Formulation Gaming,80.74,Tier 2,North East,5
KCORP Blue Stars,80.73,Tier 2,France,6
Zero Tenacity,80.72,Tier 2,East Surge,6
Permitta Unicorns,80.68,Tier 2,DACH,5
2Game Esports,80.47,Tier 1,Americas,7
Barça eSports,80.39,Tier 2,Spain,5
BLUE BEES.ESP,80.37,Tier 2,Japan,5
UCAM Esports Club,80.36,Tier 2,Spain,7
TOROSKLS,80.2,,,5
Z11,80.14,Tier 2,Thailand,6
ZETA DIVISION,80.03,Tier 1,Pacific,6
JDG Esports,80.01,Tier 1,China,9
GIANTX GC,79.85,Game Changers,EMEA,5
Falke Esports,79.85,Tier 2,Spain,8
KOI Fénix,79.78,Tier 2,Spain,5
Team Secret,79.75,Tier 1,Pacific,6
Nongshim RedForce,79.72,Tier 1,Pacific,6
Team Coldan,79.69,,,5
Green Grapes,79.62,,,5
KOI,79.52,Tier 1,EMEA,6
EDward Gaming,79.49,Tier 1,China,8
Team Valiant,79.47,Tier 2,France,7
SAGAZ,79.22,Tier 2,Brazil,5
Fancy United Esports,79.1,Tier 2,Vietnam,7
Siena Heights University,79.08,,,5
Team Heretics,79.07,Tier 1,EMEA,8
PEEK,78.99,,,5
把牛變成鱒魚,78.98,,,6
esports team αD,78.94,Tier 2,Japan,10
Dexterity Gaming,78.87,,,7
S2 Esports,78.79,,,5
Team Big BAAM,78.7,,,6
SweetNsour,78.59,Tier 2,North East,5
Galakticos,78.58,Tier 2,Turkey,8
NOVO Esports,78.52,Tier 2,Spain,6
First Round Out,78.4,,,6
Coalesce,78.31,Tier 2,North East,6
True Rippers,78.13,,,8
5 Budak Gemuk,78.11,,,5
GMBLERS Esports,78.08,Tier 2,Spain,9
KRÜ BLAZE,78.07,Game Changers,Americas,6
Al-Qadsiah Esports,78.05,Tier 2,GCC,5
MixChi,77.99,,,5
Resonate,77.96,,,8
Galatasaray Esports,77.81,Tier 2,Turkey,6
BC SWELL,77.66,Tier 2,Japan,6
NXT,77.55,Tier 2,North East,8
FULL SENSE,77.53,Tier 2,Thailand,7
TALON Academy,77.51,Tier 2,Thailand,6
Divinity,77.51,,,5
Winthrop University,77.43,Tier 2/CVal,North America,8
SEN Shahzam,77.4,,,5
MixPe,77.27,,,5
CICADAS Gaming,77.24,Tier 2,France,7
Dolphins Gaming,77.19,,,6
Level 5,77.17,,,5
Ramboot Club,77.16,Tier 2,Spain,6
Aspyre x Swarm,77.09,,,5
děti ulice,76.95,Tier 2,North East,5
Spate Esports,76.91,,,5
IHC Esports,76.9,,,6
Dudes,76.76,Tier 2,North East,5
Nova Esports,76.72,Tier 1,China,6
Xi Lai Gaming,76.67,Tier 1,China,8
ZETA Gaming,76.58,Tier 2,Spain,8
Wintermint,76.57,Tier 2,North East,5
CNEsports,76.5,,,5
Team yanxinng,76.47,,,6
Siko,76.46,Tier 2,France,6
Unicorn Cyber Da Nang,76.32,,,6
Original Gaming,76.32,,,5
TeamOrangeGaming,76.3,Tier 2,DACH,8
PETZ,76.28,,,5
TotalePRO,76.24,Tier 2,Brazil,5
DRX Changers,76.22,,,8
Reckoning Esports,76.16,,,8
Six Karma,76.16,Tier 2,LATAM North,5
ROUNDS,76.02,,,5
Soi Thai Esports,75.99,,,6
