team,team_strength,tier,region,player_count
Team Vitality,116.54,Tier 1,EMEA,9
TYLOO,112.89,Tier 1,China,9
Sentinels,110.27,Tier 1,Americas,9
G2 Esports,110.05,Tier 1,Americas,6
FunPlus Phoenix,109.25,Tier 1,China,7
Rex Regum Qeon,107.28,Tier 1,Pacific,7
DRX,107.19,Tier 1,Pacific,7
Evil Geniuses,105.76,Tier 1,Americas,5
Team Liquid,105.32,Tier 1,EMEA,8
Nova Esports,104.4,Tier 1,China,6
LEVIATÁN,103.62,Tier 1,Americas,6
Karmine Corp,103.13,Tier 1,EMEA,7
NRG Esports,102.95,Tier 1,Americas,6
MIBR,101.18,Tier 1,Americas,6
100 Thieves,101.02,Tier 1,Americas,7
RANKERS,100.26,Tier 2/CVal,North America,5
FURIA,100.25,Tier 1,Americas,5
Gentle Mates,100.08,Tier 1,EMEA,7
Dragon Ranger Gaming,99.96,Tier 1,China,10
Paper Rex,99.48,Tier 1,Pacific,8
IGNITE,99.31,Tier 2,MA/Sing,6
TALON,99.1,Tier 1,Pacific,7
Cloud9,98.95,Tier 1,Americas,7
All Gamers,98.94,Tier 1,China,12
CGN Esports,98.89,Tier 2,DACH,7
TSM,98.89,Tier 2,North America,6
Eintracht Frankfurt,98.77,Tier 2,DACH,5
M80,98.1,Tier 2,North America,8
DVM Esport,97.62,Tier 2,France,7
ZETA DIVISION,97.36,Tier 1,Pacific,6
Nightblood Gaming,96.53,Tier 3,North America,6
Eternal Fire,96.06,Tier 2,Turkey,6
BBL Esports,95.54,Tier 1,EMEA,7
REJECT,95.01,Tier 2,Japan,6
SCARZ,94.84,Tier 2,Japan,7
Bilibili Gaming,94.81,Tier 1,China,8
Mandatory,94.31,Tier 2,France,6
Papara SuperMassive,94.3,Tier 2,Turkey,7
Titan Esports Club,93.76,Tier 1,China,8
E-Xolos LAZER,93.67,Tier 2,LATAM North,7
FOKUS,91.98,Tier 2,DACH,8
S2G Esports,91.87,Tier 2,Turkey,6
Metizport,91.83,Tier 2,North East,6
