team,team_strength,tier,region,player_count
Pigeons,122.44,,,5
YDZ Esports,119.05,,,6
St. Clair Saints,116.37,,,7
Blue Otter,111.83,Tier 2/CVal,North America,6
QoR,111.12,Tier 2/CVal,North America,7
RANKERS,109.79,Tier 2/CVal,North America,5
YFP,109.47,,,5
special grade,107.24,,,6
Culturized,106.77,,,5
Paper Rex,103.97,Tier 1,Pacific,8
Abdes Daycare,102.85,,,6
Nightblood Gaming,102.55,Tier 3,North America,6
Gen.G,101.42,Tier 1,Pacific,7
Prestige Esports,101.25,,,5
Landor,100.62,,,5
JiJieHao,100.24,Tier 2,Australia,8
YDZ Mafia,98.45,,,5
Sentinels,96.5,Tier 1,Americas,9
Funhavers,96.3,Tier 2/CVal,North America,7
Maryville University,96.22,,,7
G2 Esports,96.0,Tier 1,Americas,6
DRX,95.48,Tier 1,Pacific,7
Cumberland Phoenix,95.28,,,7
Ambrosia,95.25,Tier 3,North America,5
Todak,94.72,,,8
BBL PCIFIC,94.7,Tier 2,Turkey,6
T1,93.61,Tier 1,Pacific,9
KIMMY KITTENS,92.81,Tier 2,MA/Sing,5
Global Esports,92.49,Tier 1,Pacific,9
NRG Esports,91.76,Tier 1,Americas,6
Bilibili Gaming,91.41,Tier 1,China,8
Orangutan,91.4,,,7
Cubert Academy,90.92,,,5
Metizport,90.54,Tier 2,North East,6
FUT Esports,90.17,Tier 1,EMEA,7
BBL Esports,90.12,Tier 1,EMEA,7
Eintracht Frankfurt,90.0,Tier 2,DACH,5
Trust In Plug,89.98,,,5
Himothys,89.92,,,5
IGNITE,89.64,Tier 2,MA/Sing,6
Alter Ego,89.52,Tier 2,Indonesia,8
GIANTX,89.37,Tier 1,EMEA,7
RIVAL,88.98,,,6
FOKUS,88.7,Tier 2,DACH,8
ROSE,88.6,,,5
Papara SuperMassive,88.41,Tier 2,Turkey,7
Team Flash,88.06,,,6
Rex Regum Qeon,87.95,Tier 1,Pacific,7
Galorys,87.74,Tier 2,Brazil,7
TSM,87.68,Tier 2,North America,6
MIBR,87.66,Tier 1,Americas,6
THE 7,87.37,Tier 2,Brazil,5
PR0NETS,86.76,,,6
BOOM Esports,86.65,Tier 1,Pacific,7
Overtake,86.29,,,6
Next Gen,86.22,,,5
The Ultimates,85.93,Tier 2,GCC,5
Cloud9,85.37,Tier 1,Americas,7
Team Vitality,85.25,Tier 1,EMEA,9
Karmine Corp,85.18,Tier 1,EMEA,7
FURIA,85.16,Tier 1,Americas,5
Ambitious Legend Gaming GC,84.99,Game Changers,China,6
