Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m
VictiM,RIVAL,1.13,211.0,1.21,135.3,0.7,0.74,0.26,0.04,0.04,23.0,https://www.vlr.gg/player/43426/victim?timespan=90d,,
Nightmare,TUMT Orcinus,1.196,220.679,1.771,141.022,0.747,0.801,0.395,0.109,0.043,190.0,https://www.vlr.gg/player/42921/nightmare?timespan=90d,0.0,0.0
明日花,TWA,1.091,203.03,1.213,133.163,0.766,0.748,0.221,0.121,0.079,99.0,https://www.vlr.gg/player/49930/?timespan=90d,0.0,0.0
Persia,Nongshim RedForce,1.249,216.807,1.276,145.115,0.781,0.757,0.411,0.091,0.116,155.0,https://www.vlr.gg/player/4122/persia?timespan=90d,0.965,0.888
Francis,Nongshim RedForce,1.061,206.206,1.146,133.072,0.689,0.749,0.37,0.065,0.056,155.0,https://www.vlr.gg/player/31828/francis?timespan=90d,0.955,0.85
margaret,Nongshim RedForce,0.902,187.665,0.904,116.05,0.661,0.612,0.281,0.062,0.085,155.0,https://www.vlr.gg/player/33576/margaret?timespan=90d,0.955,0.848
Dambi,Nongshim RedForce,1.045,247.084,1.102,147.809,0.738,0.818,0.306,0.218,0.211,155.0,https://www.vlr.gg/player/31827/dambi?timespan=90d,0.955,0.85
Ivy,Nongshim RedForce,1.207,225.627,1.313,148.448,0.735,0.796,0.309,0.038,0.052,155.0,https://www.vlr.gg/player/31829/ivy?timespan=90d,0.955,0.85
Sandra,Team Falcons Vega,0.745,169.008,0.85,111.648,0.688,0.613,0.205,0.063,0.092,128.0,https://www.vlr.gg/player/29900/sandra?timespan=90d,0.3,1.0
Sunshine,TYLOO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.vlr.gg/player/14453/sunshine?timespan=90d,0.0,0.0
AC,Chosen Clique Gaming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.vlr.gg/player/14445/ac?timespan=90d,1.0,1.0
free1ng,DRX,1.036,183.636,0.96,125.506,0.735,0.631,0.242,0.069,0.109,474.0,https://www.vlr.gg/player/1916/freeing?timespan=90d,0.0,0.0
aco,ZETA DIVISION GC,0.765,147.202,0.644,95.261,0.687,0.501,0.438,0.058,0.077,487.0,https://www.vlr.gg/player/29316/aco?timespan=90d,0.3,1.0
tdawgg,TSM,1.012,181.784,1.02,119.171,0.751,0.632,0.492,0.069,0.072,839.0,https://www.vlr.gg/player/3007/tdawgg?timespan=90d,0.943,0.93
XXiF,TSM,1.01,173.211,1.054,119.373,0.742,0.629,0.206,0.059,0.048,341.0,https://www.vlr.gg/player/1023/xxif?timespan=90d,0.965,0.935
rezy,Al-Qadsiah Esports,0.892,170.138,0.842,111.86,0.704,0.608,0.368,0.068,0.088,908.0,https://www.vlr.gg/player/11914/rezy?timespan=90d,0.955,0.814
Psilence,DRAGONS,0.98,243.905,1.01,152.292,0.665,0.816,0.183,0.221,0.209,778.0,https://www.vlr.gg/player/46250/sogeking?timespan=90d,0.0,0.0
JinNy,Ambitious Legend Gaming GC,0.803,158.666,0.987,83.276,0.556,0.565,0.634,0.047,0.028,206.0,https://www.vlr.gg/player/1909/jinny?timespan=90d,0.3,1.0
