Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m
abu,esports team αD,0.811,149.542,0.754,98.834,0.689,0.542,0.342,0.06,0.058,292.0,https://www.vlr.gg/player/49679/abu?timespan=90d,0.955,0.84
niki,esports team αD,0.936,181.508,0.875,124.845,0.662,0.623,0.303,0.069,0.084,588.0,https://www.vlr.gg/player/43066/niki?timespan=90d,0.955,0.84
Han,esports team αD,1.067,205.041,1.064,139.253,0.715,0.737,0.241,0.068,0.044,588.0,https://www.vlr.gg/player/34825/han?timespan=90d,0.955,0.84
EscO,esports team αD,0.999,218.651,1.048,141.537,0.663,0.775,0.159,0.199,0.169,588.0,https://www.vlr.gg/player/27458/esco?timespan=90d,0.955,0.84
Kyuanyami,esports team αD,0.87,168.3,0.85,109.1,0.67,0.59,0.36,0.05,0.03,138.0,https://www.vlr.gg/player/49238/kyuanyami?timespan=90d,,
YuRelly,esports team αD,0.733,153.456,0.695,97.019,0.662,0.526,0.282,0.055,0.105,158.0,https://www.vlr.gg/player/12930/yurelly?timespan=90d,0.978,0.92
kuro5,esports team αD,0.76,169.0,0.69,105.8,0.63,0.58,0.32,0.11,0.05,19.0,https://www.vlr.gg/player/48496/kuro5?timespan=90d,,
Brofeld,CREST GAMING Zst,0.997,185.44,1.05,123.77,0.728,0.691,0.202,0.084,0.073,759.0,https://www.vlr.gg/player/2400/brofeld?timespan=90d,0.97,0.893
bazz,CREST GAMING Zst,1.068,219.467,1.134,144.266,0.75,0.784,0.355,0.095,0.111,759.0,https://www.vlr.gg/player/6702/bazz?timespan=90d,0.97,0.892
KEN,CREST GAMING Zst,1.168,244.662,1.172,165.212,0.735,0.807,0.318,0.192,0.126,740.0,https://www.vlr.gg/player/45962/ken?timespan=90d,0.978,0.926
Kapi,CREST GAMING Zst,0.983,185.593,0.998,122.049,0.749,0.667,0.326,0.062,0.066,740.0,https://www.vlr.gg/player/40736/kapi?timespan=90d,0.978,0.92
sakurai,CREST GAMING Zst,1.067,201.959,1.082,131.865,0.747,0.729,0.367,0.1,0.094,740.0,https://www.vlr.gg/player/1009/sakurai?timespan=90d,0.973,0.904
BMV,LAZY,1.066,197.796,1.151,128.813,0.732,0.733,0.275,0.077,0.076,566.0,https://www.vlr.gg/player/2440/bmv?timespan=90d,,
moefcute,LAZY,1.242,277.84,1.312,177.074,0.717,0.971,0.19,0.213,0.164,841.0,https://www.vlr.gg/player/14228/moefcute?timespan=90d,,
Akashi,LAZY,0.888,162.451,0.837,111.347,0.711,0.565,0.329,0.046,0.08,799.0,https://www.vlr.gg/player/3908/akashi?timespan=90d,,
Louboutin,LAZY,1.081,214.037,1.108,138.834,0.748,0.748,0.288,0.094,0.076,841.0,https://www.vlr.gg/player/23041/louboutin?timespan=90d,,
Hyzee,LAZY,1.078,212.563,1.072,141.263,0.755,0.763,0.417,0.102,0.068,371.0,https://www.vlr.gg/player/1433/hyzee?timespan=90d,0.955,0.825
LeVi,RIVAL,1.05,188.886,1.066,124.769,0.746,0.666,0.34,0.067,0.068,986.0,https://www.vlr.gg/player/18704/levi?timespan=90d,,
azys,RIVAL,1.339,290.288,1.512,182.089,0.74,1.034,0.208,0.21,0.126,986.0,https://www.vlr.gg/player/13221/azys?timespan=90d,1.0,1.0
DEATHMAKER,RIVAL,1.108,210.222,1.203,142.271,0.725,0.751,0.224,0.089,0.087,986.0,https://www.vlr.gg/player/3628/deathmaker?timespan=90d,1.0,1.0
Antidote,RIVAL,0.937,165.661,0.964,107.16,0.734,0.582,0.377,0.056,0.072,963.0,https://www.vlr.gg/player/3269/antidote?timespan=90d,1.0,1.0
rawfiul,RIVAL,1.103,220.798,1.223,147.38,0.749,0.793,0.223,0.125,0.1,986.0,https://www.vlr.gg/player/12947/rawfiul?timespan=90d,1.0,1.0
VictiM,RIVAL,1.13,211.0,1.21,135.3,0.7,0.74,0.26,0.04,0.04,23.0,https://www.vlr.gg/player/43426/victim?timespan=90d,,
mitch,Cloud9,0.907,167.659,0.838,114.783,0.699,0.56,0.45,0.075,0.09,204.0,https://www.vlr.gg/player/612/mitch?timespan=90d,0.959,0.947
Xeppaa,Cloud9,1.056,209.941,1.091,133.544,0.766,0.751,0.455,0.071,0.089,427.0,https://www.vlr.gg/player/7871/xeppaa?timespan=90d,0.996,0.994
v1c,Cloud9,1.024,180.936,0.978,118.009,0.756,0.631,0.493,0.064,0.07,600.0,https://www.vlr.gg/player/17433/v1c?timespan=90d,0.848,0.97
OXY,Cloud9,1.181,269.944,1.247,170.545,0.744,0.933,0.21,0.243,0.182,600.0,https://www.vlr.gg/player/18796/oxy?timespan=90d,0.917,0.992
moose,Cloud9,0.918,158.991,0.944,105.518,0.697,0.572,0.233,0.053,0.085,600.0,https://www.vlr.gg/player/7458/moose?timespan=90d,0.887,0.995
hiro,Natus Vincere,0.711,148.405,0.617,102.37,0.498,0.499,0.134,0.083,0.067,74.0,https://www.vlr.gg/player/29867/hiro?timespan=90d,1.0,1.0
PatMen,ZOL Esports,1.194,265.41,1.251,174.829,0.77,0.948,0.255,0.235,0.186,468.0,https://www.vlr.gg/player/13744/patmen?timespan=90d,0.955,0.825
ZYND,ZOL Esports,1.0,201.735,1.04,131.94,0.683,0.722,0.198,0.102,0.106,503.0,https://www.vlr.gg/player/16953/zynd?timespan=90d,0.955,0.825
jEEE,ZOL Esports,0.966,183.719,0.947,122.4,0.764,0.653,0.358,0.055,0.059,503.0,https://www.vlr.gg/player/21677/jeee?timespan=90d,0.955,0.825
Kakarot,ZOL Esports,0.932,177.504,0.857,116.52,0.712,0.592,0.411,0.058,0.061,431.0,https://www.vlr.gg/player/9737/kakarot?timespan=90d,0.955,0.825
Kevzii,ZOL Esports,1.186,215.948,1.164,150.125,0.728,0.765,0.267,0.094,0.053,503.0,https://www.vlr.gg/player/7746/kevzii?timespan=90d,0.955,0.802
JCL,ZOL Esports,0.835,154.604,0.709,95.5,0.78,0.498,0.706,0.027,0.067,72.0,https://www.vlr.gg/player/42331/jcl?timespan=90d,,
Fixy,Unsigned5,1.006,249.781,1.109,159.649,0.684,0.865,0.164,0.199,0.201,396.0,https://www.vlr.gg/player/45876/fixy?timespan=90d,0.955,0.825
