Player,Team,Player_Strength
Raydar,FINIX ALPHA,
Dttoツ,來送幸福的,
bento,來送幸福的,
XiaoQ,來送幸福的,
SHIMANO DURA ACE,來送幸福的,
aimbot,OCU,
SumeeLunai,OCU,
huawei1016,VNU Esports,
T1ankong,VNU Esports,
Mattvictus,FINIX ALPHA,
桃園奈々生,把牛變成鱒魚,
elzira,Chérie,
ahongboy,SANDORAYAKI,
LORDPEN,Team Elzira,
Spartan,Team beejaayyy,
Summa,Team beejaayyy,
TonyTrixter,Team beejaayyy,
chaosying,Team beejaayyy,
beejay,Team beejaayyy,
SooT1,Be Man,
who am i,Be Man,
Azazel,Be Man,
Dodekethon,理科純情男高,
Evann,理科純情男高,
羊了個揚,理科純情男高,
hdx,理科純情男高,
103,理科純情男高,
Hakanss,Team Poupi,
KAKUJA,Team CombatBaby,
Rueii,Lucia Rankers,
GoodSon,把牛變成鱒魚,
Symphony,FINIX ALPHA,
bajan,Team Kira,
我拥有钢铁般的意志,MYDunWaaAChu,
Aaashire,MYDunWaaAChu,
魔法貓咪,MYDunWaaAChu,
以为我挽留你结局就会改变,MYDunWaaAChu,
John weak,MYDunWaaAChu,
Coldan,Team Coldan,
h3nsem,IGNITE,
TouXi,Daojiang Husky,
hidy,5 Budak Gemuk,
jjsayeo,5 Budak Gemuk,
bluexuan,Jester Circus,
Sushi0421,Niflheimr,
Laser,Jester Circus,
Rey,Team Cece,
kudin,Team Cece,
neill,Team Cece,
Beishang1019,Evil Samurai,
Liovin,Team Cece,
tungyao,Niflheimr,
LoNe1y,Niflheimr,
Esuki,Niflheimr,
MOMO,來送幸福的,
slowly,TYLOO,
5CM,TYLOO,
vulgar,Jester Circus,
1 miss her,Jester Circus,
ray,Team Cece,
V1yA,Wolves Esports,
player,All Gamers Young,
Z1yan,JDG Esports,
K1ra,All Gamers,
Shion7,Dragon Ranger Gaming,
Ezeir,Nova Esports,
CB,Nova Esports,
GuanG,Nova Esports,
VictiM,RIVAL,
Ketzai,Unicorn Cyber Da Nang,
QuinT,Unicorn Cyber Da Nang,
X1nh,Unicorn Cyber Da Nang,
prettyMy,Unicorn Cyber Da Nang,
Creamm,Unicorn Cyber Da Nang,
Rudi,100 Thieves,
Jovi,TALON,
Marcai,True Rippers,
BatmaN,True Rippers,
R0meo,True Rippers,
Makaveli,Orangutan,
Curvezy,Randoms,
Nikuu,Randoms,
Huntr,club penguin,
Zetik,club penguin,
Squish,Dreams To Legends,
Bored,Dreams To Legends,
EMIYA,Dreams To Legends,
B1n,Dreams To Legends,
Mikey,Dreams To Legends,
NemuiZzZz,Dreams To Legends,
SPARTA,Exsto Gaming,
GANGAZI,CNEsports,
OLDERGREG,BITEKI,
ahk,BITEKI,
Juzo Suzuya,Veterans,
Bumble,Veterans,
Brinicle,Veterans,
Maybe,Veterans,
SinS,Veterans,
Vuxqt,Blue Eyes White Dragon,
Migod,Blue Eyes White Dragon,
Storm,Blue Eyes White Dragon,
KhoiBeo,Blue Eyes White Dragon,
FinestQueue,Blue Eyes White Dragon,
kibojn,Reckoning Esports,
Garv,Reckoning Esports,
ghostxD,Reckoning Esports,
D4rf,Team NKT Academy,
LoRangeZ,Team NKT Academy,
Yuvi,MiBH,
KimHung2k5,Team Big BAAM,
wAvE,Asterisk,
River,Asterisk,
YasH,Asterisk,
rinsat,Asterisk,
Icarus,Asterisk,
gon,Nemesis,
WisdomCats,Tiny Turtle Squad,
Zeo,Tiny Turtle Squad,
weber,Team Heretics,
punda,JiJieHao,
Kyuanyami,esports team αD,
kuro5,esports team αD,
karam1l,DUPG Esports,
HyBr1D,DUPG Esports,
AceStaRRRRR,DUPG Esports,
Envy2K,DUPG Esports,
Disease,DUPG Esports,
Tuna,APAY Academy,
Lightning,APAY Academy,
Fin,APAY Academy,
Jose1,APAY Academy,
Dylan,APAY Academy,
シガレット,APAY Academy,
Yatoo,APAY Academy,
LOVE,APAY Academy,
LeVi,RIVAL,
Saluat,TUMT Shark,
Croudy,TUMT Shark,
Kasake,Disguised,
