Player,Team,Player_Strength
Shyy,KRÜ Esports,97.4
ezzy,MiBH,97.37
o0o0o,Nova Esports,97.33
Boo,Team Heretics,97.25
XXiF,TSM,97.05
nobody,EDward Gaming,96.97
Moh,The Ultimates,96.84
johnqt,Sentinels,96.81
RobbieBk,Gentle Mates,96.78
silentzz,2Game Esports,96.73
thief,YFP,96.67
Kevzii,ZOL Esports,96.56
Eggsterr,RANKERS,96.43
LuoK1ng,Trace Esports,96.09
OBONE,Nova Esports,96.01
DEATHMAKER,RIVAL,95.97
Russ,Level 5,95.74
BerserX,BOOM Esports,95.7
Minty,RIDDLE ORDER,95.51
MrCANI,JDG Esports,95.48
vibhoRR,MiBH,95.45
hfmi0dzjc9z7,TYLOO,95.33
Kushy,Rex Regum Qeon,95.32
stellar,YFP,95.18
Art,DetonatioN FocusMe,95.17
Inspire,RANKERS,95.14
Spitfires,All Gamers,94.82
Athan,DRX Prospects,94.81
happywei,Xi Lai Gaming,94.79
Deryeon,Global Esports,94.71
CLZ,ZETA DIVISION,94.7
zander,100 Thieves,94.65
Riza,Xipto Esports,94.63
mindfreak,Paper Rex,94.56
PatMen,ZOL Esports,94.46
Crws,TALON,94.45
Dambi,Nongshim RedForce,94.4
Minny,Gentle Mates,94.23
Paradox,Level 5,94.02
monk,All Gamers,94.02
JoXJo,RIDDLE ORDER,93.68
bazz,CREST GAMING Zst,93.51
C0M,LEVIATÁN,93.34
TvirusLuke,Dragon Ranger Gaming,93.24
kellyS,Global Esports,93.21
Wild0reoo,Team Secret,93.01
Shiro,BOOM Esports,92.99
Viva,Xi Lai Gaming,92.9
Jinboong,DetonatioN FocusMe,92.85
tixx,JiJieHao,92.76
Haodong,Titan Esports Club,92.49
BerLIN,FunPlus Phoenix,92.44
dip,SaD Esports,92.34
Khalil,FURIA,92.12
Xdll,ZETA DIVISION,92.02
Paincakes,Moist x Shopify,92.01
mitch,Cloud9,92.01
Governor,TALON,91.9
Lysoar,Wolves Esports,91.65
nerve,QoR,91.63
bucute,Team Flash,91.5
NaturE,Evil Geniuses,91.44
Foxy9,Gen.G,91.38
wayne,Disguised,91.37
alym,Nightblood Gaming,91.37
Ady,REVE RISE MAX,91.34
xenom,MIBR,91.23
flyuh,KOI,90.94
v1c,Cloud9,90.88
SSeeS,DetonatioN FocusMe,90.88
yatsuka,RIDDLE ORDER,90.62
tdawgg,TSM,90.5
Papi,Global Esports,90.34
Ask,REVE RISE MAX,90.18
sakurai,CREST GAMING Zst,90.07
Esperanza,NOEZ FOXX,90.01
bao,Trust In Plug,89.94
PROFEK,BBL Esports,89.92
S1Mon,EDward Gaming,89.78
nizhaoTZH,All Gamers,89.16
Ivy,Nongshim RedForce,89.14
Antidote,RIVAL,88.76
marin,NOEZ FOXX,88.69
Jan,BC SWELL,88.56
NT2k,Team Big BAAM,88.5
BlackWiz,NOEZ FOXX,88.36
FETA,Next Gen,88.16
nightz,RANKERS,88.15
flora,Delight,88.1
thiefy,NOEZ FOXX,88.08
Uta,Chaos Alliance,88.06
WAT,True Rippers,88.03
alyaL,Team Flash,87.78
sword9,TYLOO,87.66
P1nA,Team Big BAAM,87.38
kurozooted,REVE RISE MAX,87.3
123,Reckoning Esports,87.29
Levius,Bilibili Gaming,87.22
Hyzee,LAZY,87.14
fiziq,YFP,87.11
oitaN,IGZIST,86.98
pryze,2Game Esports,86.95
KHaaLiD,The Ultimates,86.89
kenmohororo,BLUE BEES.ESP,86.74
Boaster,FNATIC,86.51
Ri0,True Rippers,86.44
Avvix,Al-Qadsiah Esports,86.41
Flaring,Xipto Esports,86.38
Kapi,CREST GAMING Zst,86.3
k1Ng,DRAGONS,86.03
westside,GIANTX,85.87
Kakarot,ZOL Esports,85.72
margaret,Nongshim RedForce,85.57
gotten,Alter Ego,85.49
Dark3st,SaD Esports,85.47
STYRON,Disguised,85.18
snarly,QoR,85.14
kobra,CNEsports,84.84
YoWamu,REVE RISE MAX,84.72
jEEE,ZOL Esports,84.64
AL7B,DRAGONS,84.61
NcSlasher,BOOM Esports,84.61
deecee,Orangutan,84.6
P0PPIN,RANKERS,84.59
Brofeld,CREST GAMING Zst,84.41
EscO,esports team αD,84.39
lz,2Game Esports,84.39
Francis,Nongshim RedForce,84.34
Teague,Trust In Plug,84.17
moose,Cloud9,83.98
smiley,Ambrosia,83.92
Han,esports team αD,83.87
FiNESSE,NRG Esports,83.73
ALEKSANDAR,QoR,83.67
Nakya,Alter Ego,83.62
Srx,Onyx Ravens,83.61
Biank,Trace Esports,83.35
