Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m,opponents
restro,Purpose Gaming,1.042,228.185,1.108,145.257,0.682,0.807,0.136,0.138,0.124,138.0,https://www.vlr.gg/player/33693/restro?timespan=90d,0.65,0.65,
apu,Retiraos,1.018,240.406,1.12,160.654,0.702,0.819,0.248,0.153,0.14,101.0,https://www.vlr.gg/player/50450/apu?timespan=90d,0.5,0.85,
Shion7,Dragon Ranger Gaming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.vlr.gg/player/41774/shion7?timespan=90d,1.0,0.973,
vinizin,Agropesca Jacare,0.841,196.095,0.875,138.2,0.679,0.688,0.169,0.129,0.137,126.0,https://www.vlr.gg/player/25629/vinizin?timespan=90d,0.896,0.9,
MARCTYLINHO,DVM Esport,1.16,185.0,1.16,120.0,0.72,0.67,0.39,0.05,0.04,98.0,https://www.vlr.gg/player/3579/marctylinho?timespan=90d,0.933,0.904,
YuRelly,esports team αD,0.733,153.456,0.695,97.019,0.662,0.526,0.282,0.055,0.105,158.0,https://www.vlr.gg/player/12930/yurelly?timespan=90d,0.871,0.836,
bao,Trust In Plug,1.062,207.755,1.108,134.161,0.735,0.743,0.315,0.078,0.075,1133.0,https://www.vlr.gg/player/41877/bao?timespan=90d,0.823,0.874,
sHOW,BITEKI,0.927,183.78,0.87,123.051,0.635,0.634,0.221,0.027,0.048,41.0,https://www.vlr.gg/player/36714/show?timespan=90d,0.92,0.76,
KUNDIKUNDI,MOUZ,0.842,175.765,0.834,105.041,0.683,0.572,0.377,0.058,0.137,66.0,https://www.vlr.gg/player/1363/kundikundi?timespan=90d,0.94,0.884,
Slandy,mesos millionaires,1.093,227.815,1.087,147.13,0.763,0.731,0.373,0.06,0.1,81.0,https://www.vlr.gg/player/14722/slandy?timespan=90d,0.517,0.989,
iNaz,DRAGONS,0.865,149.951,1.004,100.551,0.59,0.575,0.179,0.067,0.084,61.0,https://www.vlr.gg/player/44546/inaz?timespan=90d,0.863,0.815,
NemuiZzZz,Dreams To Legends,0.829,156.488,0.754,102.919,0.602,0.558,0.345,0.095,0.12,43.0,https://www.vlr.gg/player/48961/nemuizzzz?timespan=90d,0.65,0.65,
Flowy,Al-Qadsiah Esports,0.984,193.438,0.933,127.618,0.724,0.648,0.505,0.064,0.072,213.0,https://www.vlr.gg/player/36069/flowy?timespan=90d,0.799,0.821,
Forcee,OXEN,0.99,153.583,0.983,103.822,0.788,0.543,0.48,0.036,0.026,108.0,https://www.vlr.gg/player/15547/forcee?timespan=90d,0.92,0.85,
Spitfires,All Gamers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.vlr.gg/player/4881/spitfires?timespan=90d,0.906,0.94,
X3B,All Gamers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.vlr.gg/player/37019/x3b?timespan=90d,1.0,0.97,
h1perZ,Fenda Dos Streamers,1.29,222.0,1.38,146.7,0.78,0.78,0.17,0.13,0.04,23.0,https://www.vlr.gg/player/25834/h1perz?timespan=90d,0.92,0.9,
Beelze,Chinggis Warriors,0.76,143.296,0.702,102.154,0.65,0.491,0.357,0.052,0.08,137.0,https://www.vlr.gg/player/47595/beelze?timespan=90d,0.92,0.76,
Cross,Retiraos,0.884,163.972,0.858,105.436,0.713,0.586,0.379,0.034,0.071,368.0,https://www.vlr.gg/player/50449/cross?timespan=90d,0.5,0.85,
AC,Chosen Clique Gaming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.vlr.gg/player/14445/ac?timespan=90d,1.0,0.97,
Rudi,100 Thieves,1.573,284.804,1.926,183.379,0.82,1.019,0.392,0.18,0.145,56.0,https://www.vlr.gg/player/16045/rudi?timespan=90d,0.65,0.65,
JinNy,Ambitious Legend Gaming GC,0.788,139.875,0.636,89.504,0.548,0.476,0.365,0.04,0.044,71.0,https://www.vlr.gg/player/1909/jinny?timespan=90d,0.71,0.91,
Muffyn,Ambitious Legend Gaming GC,0.723,192.901,0.803,117.593,0.575,0.691,0.07,0.168,0.225,71.0,https://www.vlr.gg/player/13232/muffyn?timespan=90d,0.5,0.995,
romily,KRÜ BLAZE,1.054,195.16,1.159,130.288,0.723,0.716,0.233,0.056,0.047,223.0,https://www.vlr.gg/player/18982/romily?timespan=90d,0.5,0.899,
Asteriskk,Alter Ego,0.78,142.0,0.71,93.9,0.7,0.5,0.5,0.0,0.2,20.0,https://www.vlr.gg/player/1742/asteriskk?timespan=90d,0.65,0.65,
DeadInk,Fenerbahçe Esports,0.914,201.575,0.891,129.84,0.662,0.717,0.104,0.126,0.136,80.0,https://www.vlr.gg/player/5564/deadink?timespan=90d,0.932,0.926,
Supp,FAWZ Purple,0.77,187.809,0.78,130.029,0.661,0.635,0.251,0.128,0.154,124.0,https://www.vlr.gg/player/44356/supp?timespan=90d,0.65,0.65,
Ancient,FAWZ Purple,1.159,213.332,1.149,134.645,0.705,0.78,0.361,0.066,0.049,124.0,https://www.vlr.gg/player/47488/ancient?timespan=90d,0.65,0.65,
speedy,Lilmix,0.737,158.2,0.811,116.273,0.558,0.579,0.089,0.045,0.155,45.0,https://www.vlr.gg/player/16421/speedy?timespan=90d,0.92,0.778,
UR,REIGNITE Lily,0.91,176.236,0.834,118.959,0.666,0.601,0.337,0.079,0.096,175.0,https://www.vlr.gg/player/39902/ur?timespan=90d,0.5,0.99,
Xander,Event Horizon,0.782,143.518,0.763,97.882,0.691,0.523,0.318,0.09,0.09,98.0,https://www.vlr.gg/player/39535/xander?timespan=90d,0.773,0.904,
wowza,Sho,0.55,123.0,0.5,81.4,0.66,0.44,0.29,0.02,0.07,41.0,https://www.vlr.gg/player/49166/wowza?timespan=90d,0.65,0.65,
Ichigo,Sho,0.924,242.732,0.9,149.998,0.777,0.782,0.292,0.171,0.124,41.0,https://www.vlr.gg/player/49296/ichigo?timespan=90d,0.65,0.65,
s4dboyyy,Sho,0.51,108.5,0.44,71.3,0.59,0.34,0.32,0.02,0.1,41.0,https://www.vlr.gg/player/49168/s4dboyyy?timespan=90d,0.65,0.65,
lazylion,Passion Project,1.065,202.769,0.968,151.612,0.753,0.665,0.462,0.057,0.078,104.0,https://www.vlr.gg/player/26188/lazylion?timespan=90d,0.609,0.962,
Moco,ZETA DIVISION GC,1.051,190.545,1.053,121.543,0.706,0.704,0.375,0.05,0.076,175.0,https://www.vlr.gg/player/29314/moco?timespan=90d,0.584,0.96,
suzu,ZETA DIVISION GC,0.936,213.639,0.962,141.724,0.651,0.77,0.2,0.181,0.214,175.0,https://www.vlr.gg/player/10653/suzu?timespan=90d,0.746,0.877,
Yusin,Ambitious Legend Gaming GC,0.82,186.8,0.7,123.8,0.7,0.62,0.41,0.1,0.08,71.0,https://www.vlr.gg/player/25415/yusin?timespan=90d,0.583,0.988,
Laiyin,Ambitious Legend Gaming GC,0.692,159.831,0.651,108.744,0.62,0.539,0.166,0.084,0.124,71.0,https://www.vlr.gg/player/48160/laiyin?timespan=90d,0.5,1.0,
1hp,Ambitious Legend Gaming GC,0.295,86.294,0.284,63.759,0.496,0.264,0.267,0.028,0.119,34.0,https://www.vlr.gg/player/48161/1hp?timespan=90d,0.5,1.0,
furq,Fenda Dos Streamers,0.881,171.807,0.88,109.957,0.733,0.596,0.439,0.073,0.071,126.0,https://www.vlr.gg/player/2209/furq?timespan=90d,0.92,0.9,
contii,Resonate,0.797,158.292,0.742,99.201,0.757,0.537,0.484,0.037,0.062,203.0,https://www.vlr.gg/player/1107/contii?timespan=90d,0.835,0.876,
Neptune,Xzile Esports,0.848,216.67,0.848,140.968,0.546,0.716,0.169,0.19,0.227,53.0,https://www.vlr.gg/player/44063/neptune?timespan=90d,0.88,0.9,
MarT1n,Xi Lai Gaming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.vlr.gg/player/36668/mart1n?timespan=90d,0.891,0.937,
