name,team,url,url_90d
SugarZ3ro,ZETA DIVISION,https://www.vlr.gg/player/6668/sugarz3ro?timespan=all,https://www.vlr.gg/player/6668/sugarz3ro?timespan=all/?timespan=90d
CLZ,ZETA DIVISION,https://www.vlr.gg/player/2615/clz?timespan=all,https://www.vlr.gg/player/2615/clz?timespan=all/?timespan=90d
SyouTa,ZETA DIVISION,https://www.vlr.gg/player/12990/syouta?timespan=all,https://www.vlr.gg/player/12990/syouta?timespan=all/?timespan=90d
Xdll,ZETA DIVISION,https://www.vlr.gg/player/25221/xdll?timespan=all,https://www.vlr.gg/player/25221/xdll?timespan=all/?timespan=90d
hiroronn,ZETA DIVISION,https://www.vlr.gg/player/10588/hiroronn?timespan=all,https://www.vlr.gg/player/10588/hiroronn?timespan=all/?timespan=90d
XQQ,ZETA DIVISION,https://www.vlr.gg/player/7780/johnta?timespan=all,https://www.vlr.gg/player/7780/johnta?timespan=all/?timespan=90d
Carlao,ZETA DIVISION,https://www.vlr.gg/player/6717/xqq?timespan=all,https://www.vlr.gg/player/6717/xqq?timespan=all/?timespan=90d
Boo,Team Heretics,https://www.vlr.gg/player/1144/boo?timespan=all,https://www.vlr.gg/player/1144/boo?timespan=all/?timespan=90d
MiniBoo,Team Heretics,https://www.vlr.gg/player/18350/miniboo?timespan=all,https://www.vlr.gg/player/18350/miniboo?timespan=all/?timespan=90d
Wo0t,Team Heretics,https://www.vlr.gg/player/21328/wo0t?timespan=all,https://www.vlr.gg/player/21328/wo0t?timespan=all/?timespan=90d
RieNs,Team Heretics,https://www.vlr.gg/player/10971/riens?timespan=all,https://www.vlr.gg/player/10971/riens?timespan=all/?timespan=90d
benjyfishy,Team Heretics,https://www.vlr.gg/player/29873/benjyfishy?timespan=all,https://www.vlr.gg/player/29873/benjyfishy?timespan=all/?timespan=90d
Niklas,Team Heretics,https://www.vlr.gg/player/46268/niklas?timespan=all,https://www.vlr.gg/player/46268/niklas?timespan=all/?timespan=90d
weber,Team Heretics,https://www.vlr.gg/player/2039/neilzinho?timespan=all,https://www.vlr.gg/player/2039/neilzinho?timespan=all/?timespan=90d
EsportsRyan,Team Heretics,https://www.vlr.gg/player/2038/weber?timespan=all,https://www.vlr.gg/player/2038/weber?timespan=all/?timespan=90d
florescent,Apeks,https://www.vlr.gg/player/17976/florescent?timespan=all,https://www.vlr.gg/player/17976/florescent?timespan=all/?timespan=90d
hype,Apeks,https://www.vlr.gg/player/129/hype?timespan=all,https://www.vlr.gg/player/129/hype?timespan=all/?timespan=90d
MOLSI,Apeks,https://www.vlr.gg/player/1281/molsi?timespan=all,https://www.vlr.gg/player/1281/molsi?timespan=all/?timespan=90d
AvovA,Apeks,https://www.vlr.gg/player/1507/avova?timespan=all,https://www.vlr.gg/player/1507/avova?timespan=all/?timespan=90d
Leonieahh,Apeks,https://www.vlr.gg/player/42504/leonieahh?timespan=all,https://www.vlr.gg/player/42504/leonieahh?timespan=all/?timespan=90d
oderus,Apeks,https://www.vlr.gg/player/15459/dannyto?timespan=all,https://www.vlr.gg/player/15459/dannyto?timespan=all/?timespan=90d
