Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m,opponents
Nightmare,TUMT Orcinus,1.118,207.668,1.594,132.726,0.72,0.753,0.358,0.098,0.038,226.0,https://www.vlr.gg/player/42921/nightmare?timespan=all,0.65,0.65,"['S2 Esports', 'Jester Circus']"
明日花,TWA,1.091,203.03,1.213,133.163,0.766,0.748,0.221,0.121,0.079,99.0,https://www.vlr.gg/player/49930/?timespan=all,0.65,0.65,
Liovin,Team Cece,0.57,157.0,0.41,118.7,0.63,0.37,0.21,0.05,0.16,19.0,https://www.vlr.gg/player/50049/liovin?timespan=all,0.65,0.65,"['Team Poupi', 'BIGG Motley', 'PERVELUX', 'GAS Esports']"
ray,Team Cece,1.28,320.0,1.4,202.8,0.68,1.11,0.05,0.26,0.16,19.0,https://www.vlr.gg/player/50051/ray?timespan=all,0.88,0.9,"['Erinite Esports', 'Red Knight Sons Red', 'Erinite Esports', 'Green Beans', 'Boise State University', 'Landor', 'Funhavers', 'CCG Esports', 'South Park', '4 White Guys and a Mexican', 'HyperSpeed Black', 'Christians Rottweilers', 'Eastern Michigan University', 'Christians Rottweilers', 'crashouts', 'Darius Day', 'Predator X Gaming Academy', 'Darius Day', 'USF Gold', 'Christians Rottweilers', '789', 'YDZ Esports', 'Brimstone with a Fusion Bomb', 'AURA', 'Gekko', 'Prestige Esports', ""SeanGares' Kittens"", 'LoungeLizardWW', 'Good Career', 'COPPER BLUE OVALS', 'Good Career', 'SaD Purple', 'HVA Esports', 'Cafe Coke Zero', 'Supernova']"
phonics,Stellae Gaming,0.41,108.0,0.33,75.8,0.45,0.3,0.35,0.0,0.0,20.0,https://www.vlr.gg/player/2210/phonics?timespan=all,0.65,0.65,
peRO,DFM Academy,1.111,237.69,0.856,152.214,0.619,0.759,0.347,0.241,0.067,29.0,https://www.vlr.gg/player/40728/pero?timespan=all,0.65,0.65,
desire,KPI Gaming,1.065,212.712,1.092,137.211,0.714,0.765,0.253,0.089,0.072,419.0,https://www.vlr.gg/player/44963/desire?timespan=all,0.887,0.9,"['MIBR Academy', 'RED Canids', 'Stellae Gaming', 'A nova onda do Imperador', 'PR0NETS', 'SAGAZ', 'TotalePRO', 'F4TALITY', 'pugdesonesto', 'TTK E AMIGOS', 'Agropesca Jacare', 'F4TALITY', 'NoOrg9', 'SAGAZ', 'PEEK', 'Underhounds', 'mickey mouse', 'Sliquifier', 'Grêmio Esports', 'mickey mouse', 'SAIDEIRA ESPORTS', 'DELIRA', 'Agropesca Jacare', 'F4TALITY', 'THE OFFICE', 'TBS Academy', 'PEEK', 'A nova onda do Imperador', 'PEEK', 'Agropesca Jacare', 'mickey mouse', 'mickey mouse', 'Team YOSO', 'NIGERIA 96', 'A nova onda do Imperador', 'NIGERIA 96', 'NIGERIA 96', 'PANTERA', 'SAGAZ', 'CO-OP.gg', 'SAGAZ', 'Stellae Academy', 'Tropa do A', 'Smoke Meio', 'Sliquifier', 'NEXT', 'NoOrg9', 'Curralzinho Wolves', 'OS CARA CEGO 2.0', 'Gerson Lanches', 'OS CARA CEGO 2.0', 'OS CARA CEGO 2.0', 'Agropesca Jacare', 'GenGibre', 'SAGAZ', 'lanchonete do gerso', 'A nova onda do Imperador', 'PELOTAO DOS RAUL', 'JUMENTUS', '2007', 'Agropesca Jacare', 'A nova onda do Imperador', 'pump', 'SAIDEIRA ESPORTS', 'os piticos', 'insanity', 'OS CARA CEGO', 'insanity', 'Orquestra do Maestro', 'Tropa do avanço', 'Team Liquid Brazil', 'A nova onda do Imperador', 'Fenda Dos Streamers', ' amamosfranjudas', 'Bagres.DropTech', 'KAMI TENCHI', 'PLAYOFFENJOYER', 'KAMI TENCHI', 'OS CARA CEGO', ' super onze', 'odiamos L2', 'Brasil 2002', 'DES', 'KOF 2002', 'Geladeira brastemp 98', 'Aplica 06 Aplica', 'Brasil 2002', 'FRAUDE', 'Intense Game', 'OS CARA CEGO', 'CACTUS COWBOYS', 'XIT', 'XIT', 'ULTIMATE', 'XIT', 'PANCADAO', 'ULTIMATE', 'Intense Game', 'XIT', 'XIT', 'Smoke Troop', 'Intense Game', 'TOP GUN', 'Orgless 2.0', 'Smoke Troop', 'Galorys', 'The Union', 'não temos um plano', 'PuniCoxa.com', 'Galorys', 'Black Dragons FEM', 'Botafogo eSports', 'blowzin e amigos', 'EXODIA', 'The Plain', '3P eSports', 'REiGN']"
foxy,Fancy United Esports,0.911,164.053,0.834,108.43,0.719,0.589,0.493,0.038,0.07,236.0,https://www.vlr.gg/player/48876/foxy?timespan=all,0.65,0.65,
tok1o,Fancy United Esports,0.832,153.424,0.76,97.802,0.703,0.545,0.392,0.091,0.104,297.0,https://www.vlr.gg/player/48573/tok1o?timespan=all,0.65,0.65,
dummy,Team Secret,0.832,161.671,0.805,101.114,0.633,0.565,0.285,0.072,0.09,226.0,https://www.vlr.gg/player/7357/dummy?timespan=all,0.65,0.65,
kammy,Falke Esports,0.592,108.408,0.486,75.349,0.554,0.369,0.204,0.0,0.042,49.0,https://www.vlr.gg/player/45900/kammy?timespan=all,0.65,0.65,
Bubbles,Unjustified,0.966,200.865,0.93,131.635,0.687,0.692,0.28,0.095,0.087,3982.0,https://www.vlr.gg/player/26229/bubbles?timespan=all,0.65,0.65,
Wen,F5 Esports,0.794,166.054,0.758,110.171,0.651,0.587,0.258,0.069,0.129,1846.0,https://www.vlr.gg/player/26880/wen?timespan=all,0.65,0.65,
Citrus,F5 Esports,0.87,162.152,0.815,103.307,0.697,0.551,0.325,0.046,0.072,297.0,https://www.vlr.gg/player/13753/citrus?timespan=all,0.65,0.65,
Avxrsive,F5 Esports,0.894,203.337,0.905,129.749,0.656,0.695,0.221,0.14,0.161,797.0,https://www.vlr.gg/player/3714/avxrsive?timespan=all,0.65,0.65,
aikz,Unjustified,0.871,177.806,0.789,116.763,0.672,0.594,0.388,0.064,0.096,1170.0,https://www.vlr.gg/player/14982/aikz?timespan=all,0.65,0.65,
Corsa,Solana,1.057,219.224,1.071,145.656,0.73,0.762,0.27,0.114,0.109,1078.0,https://www.vlr.gg/player/45836/corsa?timespan=all,0.65,0.65,
colby,Wadadaa,1.034,204.409,1.093,131.219,0.731,0.737,0.321,0.092,0.076,1502.0,https://www.vlr.gg/player/44607/colby?timespan=all,0.65,0.65,
jasmin,Wadadaa,1.044,198.766,0.97,132.059,0.698,0.692,0.383,0.076,0.093,335.0,https://www.vlr.gg/player/39766/jasmin?timespan=all,0.65,0.65,
wezzy,Digital Athletics,0.994,228.732,1.051,149.395,0.688,0.803,0.174,0.158,0.151,1486.0,https://www.vlr.gg/player/39351/wezzy?timespan=all,0.92,0.865,"['SHERPA', 'Dplus Esports', 'T1 Academy', 'DRX Academy', 'Gen.G Global Academy', 'FEARX', 'fOu Clan', 'Team IAM', 'URACHACHA', 'SLT Seongnam', 'GAME PT', 'Team IAM', 'Nuclear', 'Sin Prisa Gaming', '골판지 전사', '골판지 전사', 'Our Name Is', 'HYDROGEN']"
hAwksinho,Coalesce,1.012,219.348,1.046,139.821,0.71,0.774,0.267,0.162,0.155,1389.0,https://www.vlr.gg/player/40697/hawksinho?timespan=all,0.65,0.65,
E13,Chivas Esports,0.925,181.478,0.9,124.931,0.691,0.614,0.306,0.058,0.09,387.0,https://www.vlr.gg/player/48551/e13?timespan=all,0.65,0.65,
TWEEZY,wombat123,0.754,130.144,0.666,85.555,0.665,0.473,0.288,0.044,0.057,142.0,https://www.vlr.gg/player/50287/tweezy?timespan=all,0.65,0.65,
Dheny,wombat123,1.139,233.452,1.14,149.689,0.788,0.806,0.322,0.062,0.056,256.0,https://www.vlr.gg/player/46517/dheny?timespan=all,0.65,0.65,
