Player,Team,Player_Strength,Total_Rounds_Played
tdawgg,TSM,81.96,410.0
Luca,Delight,81.83,276.0
ArPoom,Team NKT Academy,81.65,85.0
JonahP,G2 Esports,81.55,314.0
Boo,Team Heretics,81.4,95.0
RieNs,Team Heretics,81.38,95.0
Art,DetonatioN FocusMe,81.35,327.0
Flaring,Unsigned5,81.11,396.0
C0M,LEVIATÁN,81.11,178.0
kamyk,Team Liquid,81.01,54.0
thiefy,NOEZ FOXX,80.88,264.0
bazz,CREST GAMING Zst,80.81,207.0
XXiF,TSM,80.51,341.0
Nakya,Alter Ego,80.4,615.0
STYRON,Disguised,80.27,658.0
Elixllo,Al-Qadsiah Esports,80.24,340.0
socools0da,Team NKT Academy,79.76,85.0
monSi,Trust In Plug,79.61,403.0
FiNESSE,NRG Esports,79.35,498.0
soulcas,KOI,79.29,42.0
wedid,Turtle Troop,79.14,222.0
IKANA,JiJieHao,79.08,561.0
Boaster,FNATIC,78.64,142.0
kellyS,Global Esports,78.38,312.0
BigE,Next Gen,78.08,489.0
v1c,Cloud9,78.01,502.0
Zyppan,Gentle Mates,77.99,47.0
BerLIN,FunPlus Phoenix,77.97,348.0
YoWamu,BABO,77.64,290.0
Sand,The Ultimates,77.5,249.0
Kapi,CREST GAMING Zst,77.1,207.0
str1keR,Al-Qadsiah Esports,76.42,340.0
SSeeS,DetonatioN FocusMe,76.05,21.0
ValdyN,Alter Ego,75.9,615.0
ZYND,ZOL Esports,75.33,503.0
rushia,Bilibili Gaming,75.08,497.0
aplycs,Reckoning Esports,75.05,387.0
westside,GIANTX,75.03,224.0
Paradox,Level 5,74.67,178.0
adverso,KRÜ Esports,74.44,189.0
Cud,Alter Ego,74.39,574.0
jEEE,ZOL Esports,73.01,503.0
NOVAE,Rub n' Pug,72.74,401.0
ban,TALON,72.55,253.0
mitch,Cloud9,71.99,106.0
Teague,Trust In Plug,71.92,403.0
markL,Unsigned5,71.88,396.0
Biank,Trace Esports,71.52,515.0
moose,Cloud9,70.87,502.0
Kakarot,ZOL Esports,70.66,431.0
S1Mon,EDward Gaming,70.51,221.0
zMART,Onyx Ravens,70.5,270.0
Kuro,Original Gaming,70.28,714.0
silentzz,2Game Esports,69.63,203.0
k1Ng,DRAGONS,69.25,42.0
Zauqk,Next Gen,68.61,489.0
ray4c,Alter Ego,68.43,612.0
CHICHOO,EDward Gaming,68.01,162.0
ScrewFace,Ambrosia,67.93,890.0
rezy,Al-Qadsiah Esports,67.82,340.0
Fighter,The Ultimates,67.43,249.0
NaturE,Evil Geniuses,66.76,227.0
Esperanza,NOEZ FOXX,66.46,264.0
nobody,EDward Gaming,65.26,177.0
smiley,Ambrosia,65.18,873.0
bunt,All Gamers,64.72,39.0
Russ,Level 5,62.97,106.0
gyen,DetonatioN FocusMe,59.85,61.0
Mojo,Reckoning Esports,59.48,410.0
Kuro,Onyx Ravens,59.02,270.0
Kyu,Ambrosia,57.42,827.0
Filu,KOI,56.96,42.0
Autumn,FunPlus Phoenix,55.37,231.0
acrian,Ambrosia,54.91,1149.0
florescent,Apeks,54.66,204.0
heybay,Trace Esports,53.03,347.0
Click,Gentle Mates,52.8,47.0
k0rupt,Funhavers,51.34,1051.0
SyouTa,ZETA DIVISION,48.23,52.0
Kazler,Refrag,45.77,112.0
karie,oomfies,42.64,311.0
WIRE,Elation Vortex,40.01,500.0
avery,oomfies,39.1,311.0
Petra,G2 Gozen,38.28,281.0
srN,MIBR GC,37.49,410.0
terror,Endear Esports,36.82,461.0
madv,Team Falcons Vega,36.67,364.0
dodonut,FlyQuest RED,36.35,238.0
StarBound,FlyQuest RED,35.92,385.0
Noia,Shopify Rebellion,35.8,204.0
Raven,Teddy Tactics,35.6,418.0
flyuh,KOI,33.97,42.0
Yusin,Ambitious Legend Gaming GC,33.69,71.0
dods,KRÜ BLAZE,33.41,223.0
Slandy,mesos millionaires,32.83,81.0
micaela,KRÜ BLAZE,32.37,223.0
Alexy,Xipto Esports,32.34,303.0
biazik,KRÜ BLAZE,32.21,223.0
Jelly,MIBR GC,32.16,410.0
evv,FlyQuest RED,32.06,598.0
Vania,G2 Gozen,31.75,363.0
Mary,Team Falcons Vega,31.42,364.0
melya,Fisher Fruit,31.4,1059.0
Toki,Team Falcons Vega,31.0,515.0
Nora,YFP X,30.87,1466.0
Joliinaa,GIANTX GC,30.54,207.0
Mel,MIBR GC,30.41,305.0
conir,KRÜ BLAZE,30.13,223.0
venus,Teddy Tactics,30.04,232.0
romily,KRÜ BLAZE,29.95,223.0
Moco,ZETA DIVISION GC,29.77,175.0
mili,Refrag,29.68,81.0
sarahcat,Shopify Rebellion,29.68,418.0
meL,Shopify Rebellion,29.43,204.0
alexis,Shopify Rebellion,29.35,377.0
Smurfette,GIANTX GC,29.19,125.0
Kamiyu,Xipto Esports,29.19,229.0
mimi,G2 Gozen,28.96,536.0
calsushi,Teddy Tactics,28.9,325.0
sarah,GIANTX GC,28.66,125.0
ness,GIANTX GC,28.16,125.0
sayuri,MIBR GC,28.11,410.0
rezq,G2 Gozen,27.65,281.0
suzu,ZETA DIVISION GC,27.58,175.0
enerii,Xipto Esports,27.42,303.0
amy,G2 Gozen,27.38,454.0
Celeste,Infinity X,26.9,169.0
oranges,Teddy Tactics,26.2,533.0
eva,Team Falcons Vega,26.07,112.0
UR,ZETA DIVISION GC,25.84,175.0
Miyori,GIANTX GC,25.64,207.0
sonder,FlyQuest RED,25.48,177.0
SereNa,ZETA DIVISION GC,25.48,283.0
theia,FlyQuest RED,24.91,127.0
Gia,Elation Vortex,24.7,136.0
Aniemal,mesos millionaires,23.61,552.0
aco,ZETA DIVISION GC,22.87,283.0
Tara,Paper Rex x Spotlight Series,22.83,361.0
jubs,MIBR GC,22.64,305.0
Hyungwonho,Elation Vortex,21.74,120.0
JinNy,Ambitious Legend Gaming GC,21.15,71.0
Muffyn,Ambitious Legend Gaming GC,20.44,71.0
Laiyin,Ambitious Legend Gaming GC,18.9,71.0
maryna,Fisher Fruit,18.89,73.0
1hp,Ambitious Legend Gaming GC,5.77,34.0
Aeric,Aspyre x Swarm,0.0,406.0
Sunshine,TYLOO,-0.0,0.0
Estrella,Rex Regum Qeon,-20.66,0.0
Rarga,Xi Lai Gaming,-20.94,0.0
o0o0o,Nova Esports,-21.04,0.0
deLb,All Gamers,-21.09,0.0
happywei,Xi Lai Gaming,-21.13,0.0
Spitfires,All Gamers,-21.24,0.0
Viva,JDG Esports,-21.41,0.0
jkuro,JDG Esports,-21.41,0.0
Z1yan,JDG Esports,-21.41,0.0
sword9,JDG Esports,-21.41,0.0
mindfreak,Paper Rex,-21.41,0.0
d4v41,Paper Rex,-21.41,0.0
yosemite,FunPlus Phoenix,-21.41,0.0
stew,JDG Esports,-21.41,0.0
Ezeir,Nova Esports,-21.41,0.0
CB,Nova Esports,-21.41,0.0
Kai,Trace Esports,-21.41,0.0
Spring,Wolves Esports,-21.41,0.0
Yuicaw,Wolves Esports,-21.41,0.0
V1yA,Wolves Esports,-21.41,0.0
Lysoar,Wolves Esports,-21.41,0.0
SiuFatBB,Wolves Esports,-21.41,0.0
Eren,TYLOO,-21.41,0.0
Ninebody,TYLOO,-21.41,0.0
coconut,Xi Lai Gaming,-21.41,0.0
