Player,Team,Player_Strength,Total_Rounds_Played
OXY,Cloud9,88.03,7826.0
Jerrwin,Trust In Plug,88.03,6780.0
alym,Nightblood Gaming,88.02,1583.0
yay,Evil Geniuses,88.01,7161.0
Sangelo14,Mix Wawitas,88.01,59.0
Kess,Nightblood Gaming,88.0,5140.0
SimonD4rk,DNSTY,87.98,8902.0
Seoldam,RIDDLE ORDER,87.93,3174.0
harambe,Ramboot Club,87.93,1952.0
Moh,The Ultimates,87.89,12742.0
Roz,SYS ReigN Esports,87.88,155.0
wackie,Joblife,87.88,7071.0
ChiaWei,把牛變成鱒魚,87.88,2338.0
f0rsakeN,Paper Rex,87.85,10404.0
f1co,Lilmix,87.84,997.0
Monokuma,Randoms,87.72,1347.0
Freakz,BIGG Siren,87.7,880.0
lula molusco,Fenda Dos Streamers,87.64,941.0
Cloud,GIANTX,87.61,7069.0
SpiritZ1,Dragon Ranger Gaming,87.59,1038.0
Verno,NRG Esports,87.54,11645.0
Needy,TBK Esports,87.54,1865.0
Juicy,Wolves Esports,87.52,6502.0
romily,KRÜ BLAZE,87.46,4196.0
1kuzohh,TOROSKLS,87.41,2730.0
kamo,Team Liquid,87.37,3853.0
sonofcar,Lemonade Stand,87.37,9524.0
YESicaN,Fancy United Esports,87.34,7934.0
Sp1ke,CICADAS Gaming,87.29,8284.0
primmie,TALON,87.23,848.0
123,Reckoning Esports,87.19,2026.0
Alfajer,FNATIC,87.18,7595.0
sKizzo,MixChi,87.18,1226.0
rubkkoide,ShindeN,87.14,4210.0
Xan,IGNITE,87.13,3775.0
rodd,SAGAZ,87.13,1267.0
XuZee,TUMT Shark,87.1,325.0
consz,The MongolZ,87.08,1494.0
runneR,GIANTX,87.08,5949.0
RYKER,CCG Esports,87.0,1932.0
Zanatsu,PR0NETS,87.0,6747.0
Boomy,Awaken Militia,86.96,3069.0
Boni,QoR,86.95,8985.0
c0ldd,Dolphins Gaming,86.94,440.0
popogachi,IGZIST,86.91,5352.0
Moco,ZETA DIVISION GC,86.85,1942.0
tomaszy,GIANTX,86.85,4688.0
Anq,Team Valiant,86.81,5675.0
invy,Team Secret,86.8,5430.0
jannyXD,Falke Esports,86.79,7153.0
Yeah,PEEK,86.76,3268.0
Shao,Natus Vincere,86.74,9336.0
xFlessh,Usepticals,86.72,42.0
SyouTa,ZETA DIVISION,86.72,4829.0
Mot1on,Wintermint,86.67,4553.0
Leo,Prestige Esports,86.67,1944.0
Teddy,First Round Out,86.65,822.0
KHS,TAMU Maroon,86.63,8674.0
UdoTan,Global Esports,86.61,2556.0
woody,RRQ Academy,86.6,1681.0
Raven,Teddy Tactics,86.56,3902.0
Kaaru,SheshMans,86.52,706.0
kiNgg,LEVIATÁN,86.51,7265.0
Keiko,Team Liquid,86.39,4275.0
DaviH,CGN Esports,86.37,6236.0
Life,FunPlus Phoenix,86.32,8921.0
MaKo,DRX,86.28,8162.0
Jammu,ROUNDS,86.23,428.0
Vera,KIMMY KITTENS,86.23,6071.0
f4ngeer,KCORP Blue Stars,86.2,2377.0
Spaz,Shopify Rebellion Black,86.15,16250.0
bones,Landor,86.13,13653.0
daiki,Team Liquid Brazil,86.08,9256.0
ico,TeamOrangeGaming,86.06,1292.0
Vitie,SweetNsour,86.05,3257.0
Storm,Blue Eyes White Dragon,86.02,1537.0
t3xture,Gen.G,86.0,6869.0
sarahcat,Shopify Rebellion Gold,86.0,10530.0
flasHH,Erinite Esports,85.94,3657.0
K1LLERS,Team Flash,85.94,7534.0
Filu,KOI,85.93,6480.0
silentzz,2Game Esports,85.9,6860.0
JustiN,Scarlet Knights,85.89,40.0
Barrett,Berzerkers,85.87,3016.0
sheydos,KOI,85.82,7604.0
above,Grêmio Esports,85.8,528.0
Flickless,UCAM Esports Club,85.78,4775.0
Dragon,JiJieHao,85.71,7105.0
dos9,BOOM Esports,85.71,2593.0
MOLSI,Apeks,85.71,8211.0
Kamiyu,Team Falcons Vega,85.71,3988.0
PatMen,NAOS,85.54,4728.0
suzu,ZETA DIVISION GC,85.54,2714.0
Potter,FULL SENSE,85.53,3418.0
leaf,G2 Esports,85.51,8147.0
ZesBeeW,Rival Esports,85.49,8340.0
