Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m
abu,esports team αD,0.811,149.542,0.754,98.834,0.689,0.542,0.342,0.06,0.058,292.0,https://www.vlr.gg/player/49679/abu?timespan=all,0.955,0.84
niki,esports team αD,0.965,189.582,0.927,127.193,0.665,0.663,0.301,0.085,0.094,1067.0,https://www.vlr.gg/player/43066/niki?timespan=all,0.955,0.84
Han,esports team αD,1.04,200.24,1.058,133.353,0.701,0.716,0.218,0.071,0.058,1384.0,https://www.vlr.gg/player/34825/han?timespan=all,0.955,0.84
EscO,esports team αD,1.047,230.982,1.088,147.608,0.684,0.805,0.165,0.206,0.165,1076.0,https://www.vlr.gg/player/27458/esco?timespan=all,0.955,0.84
Kyuanyami,esports team αD,0.87,168.3,0.85,109.1,0.67,0.59,0.36,0.05,0.03,138.0,https://www.vlr.gg/player/49238/kyuanyami?timespan=all,,
61ue,esports team αD,0.955,182.297,0.947,118.769,0.7,0.639,0.337,0.083,0.065,479.0,https://www.vlr.gg/player/43065/61ue?timespan=all,0.955,0.84
kokuya,esports team αD,0.994,185.396,0.957,121.51,0.715,0.641,0.273,0.052,0.053,1709.0,https://www.vlr.gg/player/10657/kokuya?timespan=all,0.978,0.92
YuRelly,esports team αD,0.782,155.448,0.725,100.769,0.642,0.537,0.301,0.05,0.091,1012.0,https://www.vlr.gg/player/12930/yurelly?timespan=all,0.978,0.92
kuro5,esports team αD,0.76,169.0,0.69,105.8,0.63,0.58,0.32,0.11,0.05,19.0,https://www.vlr.gg/player/48496/kuro5?timespan=all,,
Brofeld,CREST GAMING Zst,1.02,196.647,1.074,129.315,0.715,0.705,0.223,0.084,0.081,4444.0,https://www.vlr.gg/player/2400/brofeld?timespan=all,0.97,0.893
bazz,CREST GAMING Zst,1.073,214.593,1.069,138.037,0.744,0.748,0.374,0.096,0.102,4354.0,https://www.vlr.gg/player/6702/bazz?timespan=all,0.97,0.892
KEN,CREST GAMING Zst,1.09,232.712,1.11,157.242,0.721,0.778,0.284,0.176,0.141,1056.0,https://www.vlr.gg/player/45962/ken?timespan=all,0.978,0.926
Kapi,CREST GAMING Zst,0.997,191.657,1.019,128.11,0.73,0.685,0.272,0.07,0.072,1196.0,https://www.vlr.gg/player/40736/kapi?timespan=all,0.978,0.92
sakurai,CREST GAMING Zst,1.022,210.324,1.046,134.505,0.73,0.74,0.298,0.126,0.126,4168.0,https://www.vlr.gg/player/1009/sakurai?timespan=all,0.973,0.904
NeruFi,CREST GAMING Zst,0.968,185.695,0.942,122.128,0.735,0.625,0.324,0.062,0.064,1301.0,https://www.vlr.gg/player/1048/nerufi?timespan=all,0.955,0.84
제리zzzz,Stacked Like Pancakes,0.41,106.707,0.443,71.302,0.438,0.368,0.143,0.051,0.175,41.0,https://www.vlr.gg/player/47214/zzzz?timespan=all,,
clutchyy,Stacked Like Pancakes,0.993,217.992,1.031,138.987,0.695,0.754,0.259,0.134,0.126,5122.0,https://www.vlr.gg/player/3257/clutchyy?timespan=all,,
MACHEEW,Stacked Like Pancakes,0.921,159.053,0.845,106.301,0.727,0.54,0.419,0.054,0.053,528.0,https://www.vlr.gg/player/31631/macheew?timespan=all,,
KhenZy,Stacked Like Pancakes,1.192,257.476,1.306,168.143,0.722,0.912,0.164,0.168,0.124,846.0,https://www.vlr.gg/player/33052/khenzy?timespan=all,,
meli,Stacked Like Pancakes,1.072,229.014,1.097,148.8,0.744,0.809,0.37,0.082,0.068,496.0,https://www.vlr.gg/player/43136/meli?timespan=all,,
Jrfobb,Stacked Like Pancakes,1.051,189.031,1.107,132.922,0.743,0.69,0.177,0.081,0.084,459.0,https://www.vlr.gg/player/46765/jrfobb?timespan=all,,
Murdoch,Stacked Like Pancakes,0.937,178.876,0.949,121.15,0.729,0.63,0.401,0.032,0.076,211.0,https://www.vlr.gg/player/18003/murdoch?timespan=all,,
BMV,LAZY,1.011,187.207,1.015,121.546,0.739,0.668,0.305,0.06,0.065,5254.0,https://www.vlr.gg/player/2440/bmv?timespan=all,,
moefcute,LAZY,1.059,235.932,1.121,151.018,0.692,0.828,0.184,0.171,0.156,5153.0,https://www.vlr.gg/player/14228/moefcute?timespan=all,,
Akashi,LAZY,0.918,174.469,0.858,115.177,0.722,0.595,0.332,0.053,0.064,7268.0,https://www.vlr.gg/player/3908/akashi?timespan=all,,
Louboutin,LAZY,0.988,202.763,0.998,133.952,0.701,0.715,0.231,0.092,0.093,3156.0,https://www.vlr.gg/player/23041/louboutin?timespan=all,,
Hyzee,LAZY,1.058,210.814,1.08,137.617,0.751,0.739,0.334,0.091,0.077,6239.0,https://www.vlr.gg/player/1433/hyzee?timespan=all,0.955,0.825
LeVi,RIVAL,1.039,197.768,1.03,131.258,0.736,0.692,0.349,0.085,0.078,3141.0,https://www.vlr.gg/player/18704/levi?timespan=all,,
azys,RIVAL,1.136,251.131,1.226,160.341,0.709,0.876,0.204,0.177,0.14,8229.0,https://www.vlr.gg/player/13221/azys?timespan=all,1.0,1.0
DEATHMAKER,RIVAL,1.199,254.464,1.309,162.434,0.714,0.897,0.162,0.189,0.142,11562.0,https://www.vlr.gg/player/3628/deathmaker?timespan=all,1.0,1.0
Antidote,RIVAL,1.004,194.033,1.076,123.542,0.709,0.695,0.25,0.097,0.091,12841.0,https://www.vlr.gg/player/3269/antidote?timespan=all,1.0,1.0
rawfiul,RIVAL,1.183,255.287,1.297,161.656,0.723,0.903,0.154,0.184,0.132,11992.0,https://www.vlr.gg/player/12947/rawfiul?timespan=all,1.0,1.0
VictiM,RIVAL,0.941,184.575,0.857,124.412,0.656,0.616,0.29,0.079,0.151,127.0,https://www.vlr.gg/player/43426/victim?timespan=all,,
mitch,Cloud9,1.056,201.037,1.074,128.867,0.755,0.69,0.349,0.103,0.088,11657.0,https://www.vlr.gg/player/612/mitch?timespan=all,0.959,0.947
Xeppaa,Cloud9,1.065,215.127,1.066,138.232,0.758,0.744,0.394,0.08,0.083,6489.0,https://www.vlr.gg/player/7871/xeppaa?timespan=all,0.996,0.994
v1c,Cloud9,1.146,221.839,1.195,144.65,0.766,0.777,0.364,0.09,0.077,12032.0,https://www.vlr.gg/player/17433/v1c?timespan=all,0.848,0.97
OXY,Cloud9,1.13,256.814,1.199,162.252,0.713,0.907,0.173,0.192,0.151,7674.0,https://www.vlr.gg/player/18796/oxy?timespan=all,0.917,0.992
moose,Cloud9,1.155,209.778,1.222,138.022,0.758,0.743,0.269,0.087,0.071,12701.0,https://www.vlr.gg/player/7458/moose?timespan=all,0.887,0.995
Immi,Cloud9,0.499,107.656,0.448,65.162,0.607,0.331,0.356,0.143,0.172,64.0,https://www.vlr.gg/player/9815/immi?timespan=all,1.0,1.0
GUGLi,Cloud9,0.65,168.0,0.82,108.5,0.54,0.61,0.14,0.13,0.08,87.0,https://www.vlr.gg/player/6042/gugli?timespan=all,,
ANGE1,Natus Vincere,0.847,197.874,0.914,124.596,0.685,0.674,0.259,0.135,0.141,9198.0,https://www.vlr.gg/player/109/ange1?timespan=all,1.0,1.0
Shao,Natus Vincere,1.196,221.207,1.282,141.193,0.769,0.781,0.327,0.079,0.054,9279.0,https://www.vlr.gg/player/384/shao?timespan=all,1.0,1.0
Ruxic,Natus Vincere,1.14,215.252,1.166,140.572,0.758,0.757,0.399,0.084,0.076,5405.0,https://www.vlr.gg/player/18677/ruxic?timespan=all,,
hiro,Natus Vincere,1.079,216.13,1.118,140.089,0.728,0.755,0.289,0.126,0.111,3321.0,https://www.vlr.gg/player/29867/hiro?timespan=all,1.0,1.0
koalanoob,Natus Vincere,1.188,250.795,1.308,153.461,0.74,0.89,0.192,0.194,0.126,12685.0,https://www.vlr.gg/player/3722/koalanoob?timespan=all,0.891,0.927
Happy,Natus Vincere,0.973,238.851,1.168,145.826,0.688,0.824,0.282,0.101,0.089,3288.0,https://www.vlr.gg/player/255/happy?timespan=all,0.0,0.0
PatMen,ZOL Esports,1.115,239.76,1.147,158.279,0.738,0.843,0.285,0.134,0.111,4640.0,https://www.vlr.gg/player/13744/patmen?timespan=all,0.955,0.825
ZYND,ZOL Esports,1.088,232.743,1.135,150.585,0.712,0.822,0.187,0.177,0.136,4772.0,https://www.vlr.gg/player/16953/zynd?timespan=all,0.955,0.825
jEEE,ZOL Esports,0.976,192.226,0.953,128.076,0.723,0.668,0.349,0.074,0.086,4130.0,https://www.vlr.gg/player/21677/jeee?timespan=all,0.955,0.825
Kakarot,ZOL Esports,1.012,208.352,1.005,136.347,0.713,0.721,0.333,0.094,0.089,5670.0,https://www.vlr.gg/player/9737/kakarot?timespan=all,0.955,0.825
Kevzii,ZOL Esports,1.108,205.77,1.092,140.187,0.73,0.722,0.345,0.071,0.064,5716.0,https://www.vlr.gg/player/7746/kevzii?timespan=all,0.955,0.802
JCL,ZOL Esports,0.835,154.604,0.709,95.5,0.78,0.498,0.706,0.027,0.067,72.0,https://www.vlr.gg/player/42331/jcl?timespan=all,,
Fixy,Unsigned5,1.016,234.953,1.075,152.004,0.683,0.825,0.167,0.179,0.183,1378.0,https://www.vlr.gg/player/45876/fixy?timespan=all,0.955,0.825
Riza,Unsigned5,1.053,204.092,1.052,132.625,0.74,0.709,0.339,0.079,0.083,7582.0,https://www.vlr.gg/player/7443/riza?timespan=all,0.955,0.825
Flaring,Unsigned5,1.063,189.05,1.039,122.405,0.757,0.666,0.389,0.056,0.061,6795.0,https://www.vlr.gg/player/5886/flaring?timespan=all,0.955,0.825
markL,Unsigned5,1.027,214.596,1.08,138.334,0.685,0.755,0.209,0.118,0.113,2872.0,https://www.vlr.gg/player/7513/markl?timespan=all,0.955,0.802
Iceyyy,Unsigned5,1.035,232.562,1.066,153.93,0.668,0.819,0.196,0.186,0.173,245.0,https://www.vlr.gg/player/46046/iceyyy?timespan=all,0.955,0.825
JoXJo,RIDDLE ORDER,0.979,187.994,0.948,122.077,0.73,0.636,0.426,0.078,0.082,5604.0,https://www.vlr.gg/player/4663/joxjo?timespan=all,0.968,0.884
Minty,RIDDLE ORDER,1.074,221.98,1.139,142.472,0.724,0.772,0.235,0.125,0.102,4803.0,https://www.vlr.gg/player/5476/minty?timespan=all,0.966,0.878
Caedye,RIDDLE ORDER,1.067,232.307,1.151,148.899,0.728,0.81,0.233,0.143,0.115,1445.0,https://www.vlr.gg/player/29841/caedye?timespan=all,0.978,0.916
Seoldam,RIDDLE ORDER,1.124,253.381,1.245,150.068,0.73,0.884,0.208,0.193,0.131,3174.0,https://www.vlr.gg/player/10584/seoldam?timespan=all,0.993,0.974
