Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m
Nightmare,TUMT Orcinus,1.118,207.668,1.594,132.726,0.72,0.753,0.358,0.098,0.038,226.0,https://www.vlr.gg/player/42921/nightmare?timespan=all,0.0,0.0
明日花,TWA,1.091,203.03,1.213,133.163,0.766,0.748,0.221,0.121,0.079,99.0,https://www.vlr.gg/player/49930/?timespan=all,0.0,0.0
Liovin,Team Cece,0.57,157.0,0.41,118.7,0.63,0.37,0.21,0.05,0.16,19.0,https://www.vlr.gg/player/50049/liovin?timespan=all,0.0,0.0
ray,Team Cece,1.28,320.0,1.4,202.8,0.68,1.11,0.05,0.26,0.16,19.0,https://www.vlr.gg/player/50051/ray?timespan=all,0.0,0.0
maestr0,Orquestra Do Maestro,1.072,228.544,1.101,148.446,0.715,0.796,0.282,0.126,0.114,2863.0,https://www.vlr.gg/player/32717/maestr0?timespan=all,0.0,0.0
woddy,Cumberland Phoenix,1.078,196.643,1.092,130.818,0.731,0.707,0.295,0.062,0.066,6837.0,https://www.vlr.gg/player/3450/woddy?timespan=all,0.0,0.0
phonics,Stellae Gaming,0.41,108.0,0.33,75.8,0.45,0.3,0.35,0.0,0.0,20.0,https://www.vlr.gg/player/2210/phonics?timespan=all,0.0,0.0
peRO,DFM Academy,1.111,237.69,0.856,152.214,0.619,0.759,0.347,0.241,0.067,29.0,https://www.vlr.gg/player/40728/pero?timespan=all,0.0,0.0
desire,KPI Gaming,1.065,212.712,1.092,137.211,0.714,0.765,0.253,0.089,0.072,419.0,https://www.vlr.gg/player/44963/desire?timespan=all,0.0,0.0
B1SK,ZY Gaming,1.154,252.226,1.237,157.831,0.713,0.886,0.167,0.233,0.169,7796.0,https://www.vlr.gg/player/251/b1sk?timespan=all,0.0,0.0
GUGLi,Cloud9,0.65,168.0,0.82,108.5,0.54,0.61,0.14,0.13,0.08,87.0,https://www.vlr.gg/player/6042/gugli?timespan=all,0.955,0.875
PatMen,ZOL Esports,1.115,239.76,1.147,158.279,0.738,0.843,0.285,0.134,0.111,4640.0,https://www.vlr.gg/player/13744/patmen?timespan=all,0.972,0.871
jEEE,ZOL Esports,0.976,192.226,0.953,128.076,0.723,0.668,0.349,0.074,0.086,4130.0,https://www.vlr.gg/player/21677/jeee?timespan=all,0.979,0.897
Ketzai,Unicorn Cyber Da Nang,0.808,180.6,0.817,116.951,0.641,0.608,0.243,0.1,0.142,672.0,https://www.vlr.gg/player/49584/ketzai?timespan=all,,
QuinT,Unicorn Cyber Da Nang,0.98,169.645,0.898,117.429,0.703,0.607,0.397,0.044,0.059,707.0,https://www.vlr.gg/player/49565/quint?timespan=all,,
X1nh,Unicorn Cyber Da Nang,0.935,215.004,0.946,139.393,0.665,0.75,0.225,0.16,0.157,707.0,https://www.vlr.gg/player/49566/x1nh?timespan=all,,
prettyMy,Unicorn Cyber Da Nang,0.842,175.714,0.671,116.966,0.659,0.575,0.401,0.0,0.089,35.0,https://www.vlr.gg/player/49567/prettymy?timespan=all,,
