Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m
f0rsakeN,INHS Yining,0.93,176.993,1.12,128.71,0.604,0.592,0.155,0.016,0.128,71.0,https://www.vlr.gg/player/50001/f0rsaken?timespan=all,0.99,0.998
PangXinXin,INHS Yining,1.262,242.007,1.539,167.738,0.649,0.931,0.211,0.112,0.085,71.0,https://www.vlr.gg/player/49920/pangxinxin?timespan=all,0.82,0.82
FATZHAI,INHS Yining,0.734,143.812,0.609,96.25,0.469,0.531,0.062,0.0,0.064,32.0,https://www.vlr.gg/player/50024/fatzhai?timespan=all,0.82,0.82
Lukey,EXO Clan,1.014,239.364,1.081,153.943,0.718,0.831,0.183,0.195,0.164,2440.0,https://www.vlr.gg/player/34002/lukey?timespan=all,0.955,0.87
W1LL,EXO Clan,0.946,179.127,0.933,118.551,0.701,0.638,0.254,0.075,0.062,2042.0,https://www.vlr.gg/player/24426/w1ll?timespan=all,0.955,0.87
mezoky,EXO Clan,1.059,202.297,1.083,137.344,0.714,0.715,0.264,0.081,0.075,2204.0,https://www.vlr.gg/player/9943/mezoky?timespan=all,0.955,0.854
Lew,EXO Clan,1.037,195.126,1.001,129.718,0.737,0.681,0.34,0.075,0.06,3046.0,https://www.vlr.gg/player/29341/lew?timespan=all,0.955,0.87
Liovin,Team Cece,0.906,201.502,0.834,130.0,0.716,0.654,0.362,0.142,0.146,145.0,https://www.vlr.gg/player/37077/liovin?timespan=all,0.82,0.82
neill,Team Cece,0.754,194.386,0.714,132.486,0.663,0.615,0.229,0.109,0.172,140.0,https://www.vlr.gg/player/50052/neill?timespan=all,0.82,0.82
kudin,Team Cece,1.09,197.0,0.92,141.9,0.63,0.63,0.11,0.05,0.05,19.0,https://www.vlr.gg/player/50050/kudin?timespan=all,0.82,0.82
Rey,Team Cece,1.28,320.0,1.4,202.8,0.68,1.11,0.05,0.26,0.16,19.0,https://www.vlr.gg/player/50051/rey?timespan=all,0.82,0.82
Cece,Lucia Rankers,0.681,148.906,0.645,99.998,0.623,0.496,0.2,0.063,0.103,357.0,https://www.vlr.gg/player/46830/cece?timespan=all,0.82,0.82
Ender,nobody in Paris,1.053,207.498,1.087,136.079,0.7,0.743,0.261,0.088,0.102,1921.0,https://www.vlr.gg/player/27053/ender?timespan=all,0.955,0.825
espressomilk,Team ESOTERIC,0.87,154.877,0.953,105.562,0.701,0.558,0.165,0.042,0.078,130.0,https://www.vlr.gg/player/50030/espressomilk?timespan=all,0.82,0.82
miz,Himothys,0.979,217.612,1.011,139.969,0.697,0.771,0.228,0.16,0.145,2057.0,https://www.vlr.gg/player/36687/miz?timespan=all,0.955,0.825
ESOTERIC,Team ESOTERIC,0.99,206.0,1.02,126.5,0.77,0.72,0.3,0.12,0.13,130.0,https://www.vlr.gg/player/50031/esoteric?timespan=all,0.82,0.82
Xan,IGNITE,1.12,247.648,1.177,158.714,0.736,0.863,0.253,0.167,0.142,3775.0,https://www.vlr.gg/player/11737/xan?timespan=all,0.965,0.859
lenne,IGNITE,1.078,206.169,1.077,134.854,0.75,0.702,0.353,0.078,0.073,7109.0,https://www.vlr.gg/player/8137/lenne?timespan=all,0.992,0.962
Tempz,IGNITE,1.045,208.414,1.051,134.321,0.75,0.728,0.376,0.093,0.093,4493.0,https://www.vlr.gg/player/24654/tempz?timespan=all,0.975,0.898
hyk,IGNITE,0.944,197.27,0.987,130.898,0.707,0.714,0.218,0.12,0.123,1498.0,https://www.vlr.gg/player/9158/hyk?timespan=all,0.962,0.854
h3nsem,IGNITE,0.657,136.885,0.673,96.759,0.63,0.487,0.161,0.071,0.116,113.0,https://www.vlr.gg/player/20625/h3nsem?timespan=all,0.82,0.82
Smurfette,GIANTX GC,1.129,254.178,1.221,160.94,0.721,0.893,0.168,0.207,0.16,8124.0,https://www.vlr.gg/player/16418/smurfette?timespan=all,0.3,1.0
ness,GIANTX GC,1.207,234.154,1.308,151.913,0.759,0.826,0.256,0.118,0.076,7458.0,https://www.vlr.gg/player/17343/ness?timespan=all,0.3,1.0
sarah,GIANTX GC,0.964,192.643,0.982,124.739,0.712,0.69,0.303,0.105,0.105,4022.0,https://www.vlr.gg/player/24107/sarah?timespan=all,0.403,0.994
chloric,Maryville University,1.168,216.457,1.194,143.364,0.769,0.751,0.376,0.088,0.078,12858.0,https://www.vlr.gg/player/15639/chloric?timespan=all,0.908,0.93
renz,Maryville University,1.07,208.869,1.091,137.232,0.739,0.734,0.288,0.091,0.072,18570.0,https://www.vlr.gg/player/2119/renz?timespan=all,0.908,0.93
Wildfire,Maryville University,1.127,214.107,1.111,140.606,0.746,0.739,0.387,0.103,0.08,7179.0,https://www.vlr.gg/player/6642/wildfire?timespan=all,0.909,0.93
Ange,Maryville University,1.112,208.937,1.168,134.068,0.748,0.738,0.341,0.085,0.068,16377.0,https://www.vlr.gg/player/766/ange?timespan=all,0.872,0.922
geeza,Maryville University,1.108,216.716,1.171,141.603,0.736,0.778,0.234,0.096,0.082,13256.0,https://www.vlr.gg/player/12932/geeza?timespan=all,0.787,0.93
ec1s,Maryville University,1.065,195.878,1.03,126.951,0.759,0.677,0.356,0.081,0.076,7547.0,https://www.vlr.gg/player/100/ec1s?timespan=all,0.974,0.932
A1D,Maryville University,0.878,164.822,0.875,112.895,0.679,0.584,0.198,0.067,0.085,1572.0,https://www.vlr.gg/player/24561/a1d?timespan=all,0.87,0.93
dip,SaD Esports,1.09,212.97,1.109,138.843,0.741,0.734,0.329,0.098,0.085,19911.0,https://www.vlr.gg/player/8397/dip?timespan=all,0.915,0.93
Dark3st,SaD Esports,1.13,217.629,1.126,140.688,0.752,0.752,0.43,0.103,0.098,24287.0,https://www.vlr.gg/player/6437/dark3st?timespan=all,0.922,0.93
furbsa,SaD Esports,1.113,241.962,1.204,156.029,0.716,0.848,0.186,0.176,0.143,15648.0,https://www.vlr.gg/player/21886/furbsa?timespan=all,0.909,0.93
d3mur,ZETA Gaming,1.086,249.749,1.117,164.143,0.712,0.848,0.234,0.21,0.176,1508.0,https://www.vlr.gg/player/16447/d3mur?timespan=all,0.955,0.862
falltw,ZETA Gaming,1.024,214.705,1.063,138.46,0.721,0.748,0.324,0.105,0.1,9719.0,https://www.vlr.gg/player/1472/falltw?timespan=all,0.966,0.852
Lele,ZETA Gaming,1.029,223.181,1.052,146.966,0.707,0.788,0.248,0.115,0.108,4918.0,https://www.vlr.gg/player/7868/lele?timespan=all,0.958,0.874
N A I S,ZETA Gaming,1.033,202.298,1.064,131.259,0.735,0.713,0.292,0.079,0.075,6334.0,https://www.vlr.gg/player/4277/n-a-i-s?timespan=all,0.961,0.869
Z3RO,ZETA Gaming,1.078,214.598,1.087,141.768,0.711,0.756,0.269,0.102,0.098,4722.0,https://www.vlr.gg/player/5854/z3ro?timespan=all,0.958,0.832
JKG,ZETA Gaming,1.002,177.444,0.966,120.602,0.724,0.636,0.321,0.049,0.054,3224.0,https://www.vlr.gg/player/28479/jkg?timespan=all,0.955,0.86
Hassan,ZETA Gaming,0.996,183.845,1.084,135.58,0.693,0.71,0.155,0.072,0.073,166.0,https://www.vlr.gg/player/48951/hassan?timespan=all,0.82,0.82
wisa,First Round Out,0.964,183.236,0.963,119.377,0.7,0.649,0.24,0.066,0.073,1926.0,https://www.vlr.gg/player/7532/wisa?timespan=all,1.0,1.0
